# Wavelength, Flux Density (mJy), sigma(Flux Density, mJy)
1.159561400000000075e+00|5.014119999999999688e-02|4.709399999999999697e-02
1.199697100000000072e+00|1.113979999999999970e-01|3.462330000000000269e-02
1.241221899999999989e+00|2.046070000000000111e-01|3.135249999999999843e-02
1.284183999999999992e+00|2.277109999999999967e-01|2.898689999999999947e-02
1.328633100000000011e+00|1.518680000000000030e-01|2.139030000000000098e-02
1.374620799999999976e+00|6.531049999999999356e-02|3.016790000000000097e-02
1.422200200000000025e+00|6.710159999999999736e-02|2.600639999999999896e-02
1.471426399999999912e+00|1.379509999999999903e-01|3.171770000000000145e-02
1.522356400000000054e+00|1.365500000000000047e-01|2.829399999999999971e-02
1.575049600000000050e+00|2.349410000000000109e-01|2.584940000000000154e-02
1.629566300000000023e+00|3.422760000000000247e-01|2.779780000000000098e-02
1.685970100000000027e+00|3.434579999999999855e-01|3.443310000000000121e-02
1.744326000000000043e+00|2.612340000000000217e-01|2.502390000000000170e-02
1.804702100000000087e+00|1.943050000000000055e-01|2.339739999999999875e-02
1.867167800000000044e+00|2.159419999999999951e-01|2.966059999999999877e-02
1.931795699999999893e+00|2.551280000000000214e-01|3.940819999999999740e-02
1.998660300000000056e+00|2.153869999999999951e-01|2.629650000000000043e-02
2.067839600000000111e+00|3.668250000000000122e-01|3.344060000000000088e-02
2.139413100000000068e+00|4.062100000000000155e-01|2.904800000000000090e-02
2.213464099999999934e+00|3.741129999999999733e-01|3.175719999999999932e-02
2.290078100000000116e+00|3.027540000000000231e-01|3.803430000000000005e-02
2.369343999999999895e+00|2.957420000000000049e-01|5.510450000000000070e-02
